depth,radius,mean_g_jacobian,mean_linear_hidden_change,mean_exact_hidden_change,median_relative_deployment_remainder,q90_relative_deployment_remainder,median_relative_benchmark_leakage,q90_relative_benchmark_leakage,deployment_bound_coverage,benchmark_bound_coverage,deployment_bound_2x_coverage,benchmark_bound_2x_coverage
1,0.025,0.4460101909472767,0.011150254773681917,0.011151649052882483,0.0017699310062480765,0.004631221681937429,0.003116407319681014,0.00676709227810348,0.98,0.94,1.0,1.0
1,0.05,0.4460101909472767,0.022300509547363834,0.022304830945525746,0.0034628052896470696,0.009225997411801905,0.006257824629418519,0.013675267247673322,0.98,0.94,1.0,1.0
1,0.1,0.4460101909472767,0.04460101909472767,0.04460832782432021,0.00728836410831976,0.01822630768432985,0.012607350105183282,0.027824676467672057,0.98,0.94,1.0,1.0
1,0.2,0.4460101909472767,0.08920203818945534,0.0891527072430007,0.015361369172795583,0.03518150868211981,0.024847866118203915,0.05477520261407262,0.96,0.94,1.0,1.0
2,0.025,0.3020098109651929,0.007550245274129824,0.00755136159799265,0.003124709112983244,0.00685826226653724,0.004111788149294305,0.007208236439289781,1.0,1.0,1.0,1.0
2,0.05,0.3020098109651929,0.015100490548259647,0.01510423059564115,0.006369967987791101,0.013728226236238567,0.008209121935790115,0.014404148761162815,1.0,1.0,1.0,1.0
2,0.1,0.3020098109651929,0.030200981096519294,0.0302101085834753,0.013210161209176279,0.027483476661958075,0.016396774771462258,0.02879112326096011,0.98,1.0,1.0,1.0
2,0.2,0.3020098109651929,0.06040196219303859,0.06039132174987733,0.028197236944159775,0.05489944378365062,0.03293752649632955,0.057729454249979585,0.98,1.0,1.0,1.0
4,0.025,0.17765342042833573,0.004441335510708393,0.0044316658270578966,0.004403227869355965,0.01014709683709647,0.006813417868759264,0.01211710421844041,0.96,0.96,1.0,1.0
4,0.05,0.17765342042833573,0.008882671021416787,0.008843309626404816,0.008707596591283878,0.020187852825754783,0.01364989601831512,0.024064088818645288,0.96,0.96,1.0,1.0
4,0.1,0.17765342042833573,0.017765342042833573,0.017602549367379268,0.017037673321551563,0.03994455777281518,0.027157648027567077,0.04742670605023627,0.98,0.96,1.0,1.0
4,0.2,0.17765342042833573,0.03553068408566715,0.03483861403328858,0.03404686989750692,0.07813666732651686,0.05385546920669243,0.09515310192689824,0.98,0.96,1.0,1.0
6,0.025,0.1497068632416278,0.0037426715810406947,0.0037430388302238785,0.005376435369924715,0.008027636228487445,0.006465574744970954,0.017019861339864006,0.98,0.98,1.0,1.0
6,0.05,0.1497068632416278,0.007485343162081389,0.007485980563661146,0.010689612287719252,0.016301124832581445,0.012897304636270758,0.03366605530750073,0.98,0.98,1.0,1.0
6,0.1,0.1497068632416278,0.014970686324162779,0.014966522228987589,0.02091668127095856,0.03398248169198589,0.025545791893979167,0.0658532169630178,0.98,0.98,1.0,1.0
6,0.2,0.1497068632416278,0.029941372648325557,0.029870320555560107,0.03988766371353798,0.07326857443210547,0.050569428612936645,0.12592252296774303,0.98,0.98,1.0,1.0
