policy,step,n_runs,modal_last_added_probe,mean_certified_fraction,mean_false_decision_rate_all,mean_error_rate_among_certified,mean_active_yield,mean_inactive_yield
response_rank,0,200,,0.017430149447693305,0.0005880441845354126,0.03528128626839463,0.0,0.017006741668991167
response_rank,1,200,SR-MMP,0.05640025990903184,0.000880441845354126,0.036113887169566414,0.0,0.056104399523054224
response_rank,2,200,SR-HSE,0.0658154645873944,0.00096816114359974,0.037160655072651955,0.0,0.0655287302175869
response_rank,3,200,SR-ATAD5,0.06500974658869395,0.0007407407407407407,0.03081139986149708,0.0,0.06494650516547232
response_rank,4,200,SR-ARE,0.06645873944119557,0.0006692657569850552,0.028482902810593166,0.0,0.06647324783383753
uncertainty,0,200,,0.017430149447693305,0.0005880441845354126,0.03528128626839463,0.0,0.017006741668991167
uncertainty,1,200,SR-ARE,0.04730669265756985,0.0006367771280051982,0.032688410651245614,0.0,0.04717268223974288
uncertainty,2,200,SR-MMP,0.04630279402209227,0.0006400259909031838,0.033210006406468255,0.0,0.04615415300046996
uncertainty,3,200,SR-HSE,0.04474009096816114,0.0005912930474333983,0.03272391664258153,0.0,0.044624850431051154
uncertainty,4,200,SR-ATAD5,0.06645873944119557,0.0006692657569850552,0.028482902810593166,0.0,0.06647324783383753
diversity,0,200,,0.017430149447693305,0.0005880441845354126,0.03528128626839463,0.0,0.017006741668991167
diversity,1,200,SR-HSE,0.01719298245614035,0.0005880441845354126,0.03581803333194202,0.0,0.016767276359369688
diversity,2,200,SR-ATAD5,0.025048732943469782,0.0006140350877192982,0.03475330847952781,0.0,0.02467464123625082
diversity,3,200,SR-MMP,0.05757309941520467,0.000571799870045484,0.026822966603093024,0.0,0.057595156859639556
diversity,4,200,SR-MMP,0.06645873944119557,0.0006692657569850552,0.028482902810593166,0.0,0.06647324783383753
benchmark_aligned,0,200,,0.017430149447693305,0.0005880441845354126,0.03528128626839463,0.0,0.017006741668991167
benchmark_aligned,1,200,SR-MMP,0.012387914230019493,0.00036387264457439896,0.030443325987147246,0.0,0.012140128291304326
benchmark_aligned,2,200,SR-ARE,0.046150097465886934,0.0006302794022092267,0.0330087218188172,0.0,0.04600972284492814
benchmark_aligned,3,200,SR-ATAD5,0.067956465237167,0.0006985055230669266,0.028879411737762692,0.0,0.06795611628767845
benchmark_aligned,4,200,SR-HSE,0.06645873944119557,0.0006692657569850552,0.028482902810593166,0.0,0.06647324783383753
random,0,200,,0.017430149447693305,0.0005880441845354126,0.03528128626839463,0.0,0.017006741668991167
random,1,200,SR-HSE,0.02824561403508772,0.0005750487329434698,0.0326156178860136,0.0,0.027938641463811375
random,2,200,SR-MMP,0.04658219623131904,0.0005653021442495127,0.02897927618084215,0.0,0.04649247775698759
random,3,200,SR-MMP,0.05352176738141651,0.0005782975958414555,0.02855534449836813,0.0,0.05348185213834951
random,4,200,SR-ARE,0.06645873944119557,0.0006692657569850552,0.028482902810593166,0.0,0.06647324783383753
oracle,0,200,,0.017430149447693305,0.0005880441845354126,0.03528128626839463,0.0,0.017006741668991167
oracle,1,200,SR-MMP,0.05655295646523716,0.000880441845354126,0.03581032603128788,0.0,0.05625860584210758
oracle,2,200,SR-HSE,0.07034437946718648,0.0010038986354775827,0.03702654919655114,0.0,0.07006881444390897
oracle,3,200,SR-ATAD5,0.06505847953216375,0.0007537361923326835,0.031778979127000055,0.0,0.06498271920654236
oracle,4,200,SR-ARE,0.06645873944119557,0.0006692657569850552,0.028482902810593166,0.0,0.06647324783383753
